0 297 0 5
1 32 0 0
2 33 0 3
3 44 0 2
4 45 1 1
5 34 0 3
6 62 2 2
7 54 1 2
8 66 0 0
9 53 2 4
10 60 3 0
11 63 2 6
12 57 9 7
13 83 6 5
14 65 1 6
15 74 10 8
16 67 10 12
17 67 13 10
18 73 14 3
19 49 19 7
20 60 14 12
21 87 13 14
22 81 17 11
23 58 13 18
24 67 19 13
25 56 26 10
26 59 19 14
27 65 16 17
28 60 21 21
29 56 25 9
30 67 27 15
31 59 20 12
32 60 28 12
33 67 30 23
34 57 20 19
35 79 31 14
36 76 33 12
37 61 20 25
38 77 29 12
39 73 28 16
40 68 30 20
41 82 40 20
42 73 29 26
43 71 37 21
44 60 33 25
45 81 44 27
46 66 32 16
47 74 35 24
48 63 33 26
49 68 36 18
50 73 31 27
51 74 44 23
52 74 37 28
53 85 36 24
54 93 45 24
55 88 45 34
56 80 50 28
57 86 41 28
58 74 49 35
59 84 52 29
60 94 49 26
61 88 45 29
62 94 35 31
63 90 60 30
64 84 59 30
65 75 51 36
66 85 52 28
67 76 58 38
68 69 60 20
69 84 60 23
70 87 59 31
71 93 62 36
72 86 64 39
73 73 66 35
74 69 60 32
75 74 67 29
76 70 60 36
77 69 74 32
78 65 80 45
79 67 53 37
80 71 76 33
81 67 73 31
82 48 65 34
83 56 72 45
84 53 70 34
85 51 81 37
86 37 65 44
87 46 79 48
88 46 70 42
89 48 76 45
90 38 65 36
91 49 85 42
92 44 67 43
93 41 67 41
94 29 75 51
95 29 74 57
96 39 92 55
97 21 99 45
98 35 98 55
99 20 90 46
100 23 93 69
101 26 78 59
102 25 105 66
103 29 97 68
104 19 103 58
105 21 80 65
106 21 95 76
107 20 81 62
108 19 96 76
109 25 78 57
110 17 91 75
111 20 99 80
112 16 92 80
113 11 105 95
114 20 119 80
115 21 104 75
116 15 100 81
117 16 126 80
118 15 99 70
119 16 110 93
120 19 101 77
121 15 98 87
122 20 90 84
123 25 110 81
124 15 118 86
125 18 104 84
126 16 106 107
127 16 102 95
128 15 87 83
129 18 93 111
130 20 85 111
131 21 100 105
132 18 101 99
133 21 96 100
134 11 96 85
135 9 95 105
136 20 85 117
137 23 71 114
138 21 65 94
139 24 76 92
140 18 59 88
141 17 55 113
142 12 67 95
143 18 65 98
144 21 70 98
145 18 68 97
146 14 61 123
147 15 52 103
148 13 43 111
149 12 46 104
150 20 43 104
151 21 44 88
152 20 48 122
153 20 45 119
154 15 50 114
155 18 54 124
156 19 41 105
157 23 46 112
158 20 56 109
159 11 48 111
160 20 59 118
161 18 54 116
162 19 56 119
163 16 48 133
164 19 53 112
165 20 36 104
166 19 51 126
167 24 48 113
168 16 36 132
169 20 44 106
170 23 45 131
171 16 46 120
172 13 37 101
173 17 59 80
174 19 60 98
175 14 42 87
176 30 47 83
177 32 53 96
178 21 46 74
179 25 40 76
180 20 55 91
181 35 32 76
182 27 38 72
183 28 40 76
184 28 42 66
185 23 44 51
186 23 54 53
187 27 48 32
188 34 57 43
189 37 39 35
190 23 46 28
191 35 40 26
192 26 36 26
193 34 30 28
194 35 30 20
195 27 31 15
196 33 30 16
197 36 34 14
198 34 39 19
199 38 37 11
200 33 37 9
201 41 27 9
202 47 42 7
203 42 23 4
204 50 20 5
205 40 22 3
206 50 15 7
207 44 14 11
208 50 15 3
209 50 15 5
210 51 6 8
211 48 19 14
212 65 8 3
213 44 9 12
214 61 8 13
215 85 15 12
216 127 14 24
217 169 23 84
218 555 103 107
219 322 161 490
220 621 482 293
221 899 289 530
222 720 786 555
223 731 706 610
224 879 751 921
225 1409 604 984
226 1747 1246 1994
227 2218 2142 2065
228 2495 2624 2695
229 1705 2545 2195
230 801 1464 925
231 2219 971 882
232 6210 4368 5536
233 3253 4325 4745
234 3337 5349 3543
235 1043 1147 767
236 1633 1750 2007
237 301 557 194
238 148 109 167
239 112 63 65
240 71 34 62
241 79 40 44
242 57 30 41
243 61 21 33
244 37 15 33
245 43 13 23
246 26 18 23
247 25 13 20
248 14 7 18
249 19 9 22
250 20 3 18
251 19 3 12
252 14 2 11
253 13 3 9
254 5 1 9
255 29 3 57
