0 6371 1395 1948
1 15 84 59
2 49 118 44
3 10 106 81
4 21 142 40
5 32 149 55
6 4 182 43
7 115 237 62
8 30 344 70
9 108 422 39
10 9 648 109
11 25 1070 55
12 107 890 68
13 7 963 31
14 92 405 60
15 31 307 74
16 69 123 41
17 7 108 142
18 9 88 37
19 64 84 71
20 9 77 37
21 55 73 91
22 26 88 44
23 44 72 62
24 11 57 85
25 18 64 56
26 30 60 166
27 10 71 41
28 40 41 92
29 17 73 35
30 39 52 111
31 18 42 114
32 32 49 39
33 57 45 255
34 14 48 40
35 52 55 123
36 15 54 45
37 73 66 153
38 16 56 146
39 33 59 43
40 48 45 148
41 19 52 56
42 44 44 347
43 21 56 41
44 33 38 213
45 21 45 48
46 12 47 236
47 19 46 232
48 18 44 49
49 21 43 720
50 20 56 42
51 19 49 436
52 32 50 70
53 23 49 348
54 23 57 554
55 26 48 81
56 19 43 890
57 32 47 99
58 30 41 344
59 33 40 72
60 24 32 161
61 33 32 87
62 23 51 103
63 22 52 79
64 35 39 57
65 30 50 82
66 31 50 44
67 33 42 43
68 30 41 38
69 28 43 38
70 29 24 24
71 31 28 18
72 36 36 23
73 32 32 26
74 32 28 18
75 41 42 23
76 41 35 15
77 49 36 8
78 39 35 8
79 44 29 15
80 44 30 7
81 50 23 6
82 50 15 7
83 49 21 9
84 53 15 6
85 41 18 4
86 52 14 3
87 54 6 11
88 55 6 7
89 52 14 6
90 61 12 13
91 49 8 4
92 52 13 10
93 54 9 12
94 58 6 18
95 82 6 27
96 150 13 81
97 201 18 144
98 544 39 495
99 391 135 267
100 853 140 535
101 722 508 568
102 746 547 634
103 685 665 839
104 886 749 1040
105 1321 621 1543
106 1810 1023 1738
107 2301 1652 2262
108 2534 2693 2479
109 1670 2428 1602
110 934 1713 804
111 2234 1615 2044
112 6221 4452 6134
113 3191 3106 3156
114 3273 4661 3160
115 1052 2826 986
116 1623 2049 1558
117 120 356 188
118 102 466 82
119 84 80 63
120 64 42 53
121 29 35 29
122 33 39 36
123 33 27 30
124 28 16 26
125 19 13 23
126 29 12 16
127 13 16 22
128 15 8 22
129 14 9 20
130 13 8 14
131 17 5 5
132 3 0 13
133 2 4 15
134 0 3 23
135 0 0 26
136 0 3 7
137 0 1 1
138 0 0 0
139 0 0 0
140 0 0 0
141 0 0 0
142 0 0 0
143 0 0 0
144 0 0 0
145 0 0 0
146 0 0 0
147 0 0 0
148 0 0 0
149 0 0 0
150 0 0 0
151 0 0 0
152 0 0 0
153 0 0 0
154 0 0 0
155 0 0 0
156 0 0 0
157 0 0 0
158 0 0 0
159 0 0 0
160 0 0 0
161 0 0 0
162 0 0 0
163 0 0 0
164 0 0 0
165 0 0 0
166 0 0 0
167 0 0 0
168 0 0 0
169 0 0 0
170 0 0 0
171 0 0 0
172 0 0 0
173 0 0 0
174 0 0 0
175 0 0 0
176 0 0 0
177 0 0 0
178 0 0 0
179 0 0 0
180 0 0 0
181 0 0 0
182 0 0 0
183 0 0 0
184 0 0 0
185 0 0 0
186 0 0 0
187 0 0 0
188 0 0 0
189 0 0 0
190 0 0 0
191 0 0 0
192 0 0 0
193 0 0 0
194 0 0 0
195 0 0 0
196 0 0 0
197 0 0 0
198 0 0 0
199 0 0 0
200 0 0 0
201 0 0 0
202 0 0 0
203 0 0 0
204 0 0 0
205 0 0 0
206 0 0 0
207 0 0 0
208 0 0 0
209 0 0 0
210 0 0 0
211 0 0 0
212 0 0 0
213 0 0 0
214 0 0 0
215 0 0 0
216 0 0 0
217 0 0 0
218 0 0 0
219 0 0 0
220 0 0 0
221 0 0 0
222 0 0 0
223 0 0 0
224 0 0 0
225 0 0 0
226 0 0 0
227 0 0 0
228 0 0 0
229 0 0 0
230 0 0 0
231 0 0 0
232 0 0 0
233 0 0 0
234 0 0 0
235 0 0 0
236 0 0 0
237 0 0 0
238 0 0 0
239 0 0 0
240 0 0 0
241 0 0 0
242 0 0 0
243 0 0 0
244 0 0 0
245 0 0 0
246 0 0 0
247 0 0 0
248 0 0 0
249 0 0 0
250 0 0 0
251 0 0 0
252 0 0 0
253 0 0 0
254 0 0 0
255 0 0 0
